InputID,TargetID,Distance,Distance(km)
85697,85653,0.211563834,23.55128603
42856,42791,0.229184664,25.51283678
42859,43252,0.174095361,19.38029558
41725,41761,0.516574042,57.50502237
42862,42821,0.304371556,33.88264157
43497,43420,0.206962032,23.03901338
85706,45106,0.199004887,22.15322398
83069,95285,0.133721521,14.8858797
43503,43506,0.365306386,40.66590694
42869,42888,0.419460066,46.69429453
43506,43423,0.091487033,10.18433651
44537,44539,0.519201958,57.79756193
44539,44671,0.350091229,38.9721556
41740,41777,0.197373734,21.97164404
42877,42913,0.361992646,40.29702131
96436,200253,0.382898062,42.62421231
95585,95172,0.188351316,20.96726854
44320,44392,0.201749675,22.45877383
95591,95646,0.257962459,28.71638094
44324,44337,0.125098705,13.9259878
44326,44342,0.222892857,24.81243287
200253,96436,0.382898062,42.62421231
42888,42896,0.212090177,23.60987846
44553,44563,0.672687937,74.88362116
41755,41775,0.607887356,67.67002044
96055,200261,0.265835869,29.59284894
44332,44320,0.213645716,23.78304105
44558,44580,0.168214459,18.72563356
83099,83172,0.064122236,7.138087355
83099,83171,0.064122236,7.138087355
40161,40463,0.497982431,55.43540424
42896,42901,0.085477279,9.515330733
44335,44367,0.199714473,22.2322151
45022,45121,0.052129576,5.803064351
95604,95585,0.278002325,30.94721878
40052,40069,0.262459643,29.21700741
41761,41838,0.237039479,26.38723477
44337,44324,0.125098705,13.9259878
44563,44558,0.175946666,19.58638286
200261,96055,0.265835869,29.59284894
42901,85581,0.074822337,8.329222593
44342,82058,0.202175187,22.50614178
45028,45113,0.147435494,16.41251922
200026,45036,0.160754582,17.89520001
43541,43446,0.308655479,34.35952794
41770,41761,0.401812929,44.72981525
45036,45038,0.092502389,10.29736597
41775,41755,0.607887356,67.67002044
45038,45036,0.092502389,10.29736597
41776,41740,0.511467076,56.93651489
42913,42877,0.361992646,40.29702131
44352,83011,0.163779657,18.23195147
40069,40052,0.262459643,29.21700741
41777,41740,0.197373734,21.97164404
44580,44558,0.168214459,18.72563356
42917,42760,0.430856232,47.96291575
44356,82396,1E-05,0.0011132
95627,95641,0.123329683,13.72906033
41781,41838,0.050574437,5.629946285
200269,200279,0.428403512,47.689879
